Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
22172	1152	1.760000	11.260000	6.490000	0.910000	0.630000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22312	1175	1.400000	10.380000	6.020000	0.930000	0.640000	82.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22453	1290	1.590000	10.250000	5.960000	0.940000	0.640000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22603	1328	1.660000	10.420000	6.020000	0.920000	0.640000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22743	1380	1.780000	10.540000	6.100000	0.920000	0.640000	82.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
22903	1484	1.630000	10.150000	5.840000	0.930000	0.620000	82.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
23064	1570	1.680000	9.990000	5.690000	0.920000	0.620000	83.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
23224	1638	1.680000	10.240000	5.830000	0.930000	0.610000	83.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
23384	1699	1.700000	10.140000	5.720000	0.920000	0.620000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
23524	1779	1.820000	10.560000	6.010000	0.910000	0.640000	83.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
23684	1901	1.700000	11.020000	6.370000	0.910000	0.670000	83.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
23845	1957	1.680000	11.270000	6.460000	0.910000	0.690000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24005	2060	1.630000	11.210000	6.510000	0.920000	0.690000	83.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24165	2176	1.680000	11.370000	6.560000	0.910000	0.690000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24325	2265	1.630000	11.270000	6.480000	0.910000	0.680000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24486	2357	1.610000	11.350000	6.520000	0.900000	0.670000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24646	2483	1.590000	11.070000	6.310000	0.910000	0.660000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
24806	2566	1.630000	11.040000	6.320000	0.900000	0.660000	82.000000	70.000000	250	0.000000	0.000000	0.870000	0	0	0	
