 mAir, RPM, O2Sf, Target
153,896,2683,2709.83
153,896,2820,2848.2
153,898,2820,2848.2
153,901,2717,2744.17
153,901,2717,2744.17
153,906,2683,2709.83
153,906,2683,2709.83
152,901,2737,2764.37
152,901,2737,2764.37
157,897,2693,2719.93
157,903,2761,2788.61
155,903,2761,2788.61
155,903,2825,2853.25
155,895,2825,2853.25
155,892,2737,2764.37
154,892,2737,2764.37
154,892,2776,2803.76
156,889,2776,2803.76
156,888,2737,2764.37
156,888,2737,2764.37
156,888,2771,2798.71
156,892,2771,2798.71
156,892,2741,2768.41
156,891,2741,2768.41
156,891,2732,2759.32
157,894,2732,2759.32
157,894,2785,2812.85
155,897,2785,2812.85
155,897,2761,2788.61
156,895,2761,2788.61
156,895,2712,2739.12
156,898,2712,2739.12
156,898,2815,2843.15
155,899,2815,2843.15
153,899,2722,2749.22
153,900,2722,2749.22
153,900,2781,2808.81
154,899,2781,2808.81
154,899,2883,2911.83
154,902,2883,2911.83
154,902,2746,2773.46
152,897,2746,2773.46
152,897,2737,2764.37
152,899,2737,2764.37
152,899,2873,2901.73
152,893,2873,2901.73
152,893,2771,2798.71
155,890,2771,2798.71
155,890,2834,2862.34
155,890,2834,2862.34
155,890,2722,2749.22
156,895,2722,2749.22
156,895,2751,2778.51
155,888,2751,2778.51
155,888,2864,2892.64
153,885,2864,2892.64
153,885,2751,2778.51
156,882,2751,2778.51
156,882,2839,2867.39
154,888,2839,2867.39
154,888,2717,2744.17
148,890,2717,2744.17
148,890,2820,2848.2
147,892,2820,2848.2
147,891,2834,2862.34
147,891,2834,2862.34
152,889,2805,2833.05
152,889,2805,2833.05
155,889,2790,2817.9
155,885,2790,2817.9
155,885,2883,2911.83
155,885,2883,2911.83
155,885,2898,2926.98
151,885,2898,2926.98
151,885,2864,2892.64
149,890,2864,2892.64
149,890,2815,2843.15
149,892,2815,2843.15
148,892,2864,2892.64
148,888,2864,2892.64
147,888,2883,2911.83
147,885,2883,2911.83
148,885,2800,2828
148,887,2800,2828
148,887,2776,2803.76
151,880,2776,2803.76
151,880,2746,2773.46
150,871,2746,2773.46
150,873,2820,2848.2
148,873,2820,2848.2
148,873,2815,2843.15
151,879,2815,2843.15
151,879,2810,2838.1
148,879,2810,2838.1
148,877,2810,2838.1
150,878,2854,2882.54
150,878,2854,2882.54
151,873,2825,2853.25
151,873,2825,2853.25
150,877,2737,2764.37
150,877,2737,2764.37
149,877,2810,2838.1
149,875,2810,2838.1
149,870,2785,2812.85
149,870,2785,2812.85
149,870,2776,2803.76
148,870,2776,2803.76
148,874,2810,2838.1
147,874,2810,2838.1
147,874,2702,2729.02
148,873,2702,2729.02
148,871,2702,2729.02
145,871,2805,2833.05
145,871,2805,2833.05
149,866,2781,2808.81
149,866,2781,2808.81
150,866,2825,2853.25
150,867,2825,2853.25
149,867,2810,2838.1
149,866,2810,2838.1
149,867,2707,2734.07
147,867,2707,2734.07
147,867,2756,2783.56
146,868,2756,2783.56
146,868,2756,2783.56
148,868,2883,2911.83
148,868,2883,2911.83
151,868,2810,2838.1
151,865,2810,2838.1
150,865,2893,2921.93
150,865,2893,2921.93
148,859,2800,2828
148,859,2800,2828
146,866,2761,2788.61
146,866,2761,2788.61
146,866,2790,2817.9
146,868,2790,2817.9
146,868,2937,2966.37
148,868,2937,2966.37
148,867,2829,2857.29
148,867,2829,2857.29
148,867,2859,2887.59
149,870,2859,2887.59
149,870,2737,2764.37
149,866,2737,2764.37
149,866,2737,2764.37
150,866,2869,2897.69
150,857,2869,2897.69
147,856,2722,2749.22
147,856,2722,2749.22
147,861,2849,2877.49
147,861,2849,2877.49
147,864,2839,2867.39
147,864,2839,2867.39
146,864,2781,2808.81
146,864,2781,2808.81
146,864,2834,2862.34
149,861,2834,2862.34
149,861,2834,2862.34
149,863,2737,2764.37
149,863,2737,2764.37
147,860,2820,2848.2
147,860,2820,2848.2
144,864,2761,2788.61
144,864,2810,2838.1
145,863,2810,2838.1
145,863,2834,2862.34
147,865,2834,2862.34
147,865,2834,2862.34
148,865,2825,2853.25
148,865,2825,2853.25
146,864,2844,2872.44
146,864,2844,2872.44
148,864,2717,2744.17
148,857,2717,2744.17
147,857,2873,2901.73
147,857,2873,2901.73
147,861,2854,2882.54
147,863,2854,2882.54
147,863,2854,2882.54
144,863,2873,2901.73
144,863,2873,2901.73
145,864,2869,2897.69
145,864,2869,2897.69
148,868,2820,2848.2
148,868,2820,2848.2
149,865,2795,2822.95
149,865,2795,2822.95
150,865,2849,2877.49
150,865,2849,2877.49
150,865,2869,2897.69
147,860,2869,2897.69
147,860,2869,2897.69
145,864,2771,2798.71
145,864,2771,2798.71
145,858,2776,2803.76
